epoch,hour_of_day,day_of_week,month_of_year,year,is_holiday,temperature,humidity,dew_point,temperature_feeling,wind_speed,rain_1h,load,predicted_load
1546311600,2,3,1,2019,1,26.04,82,22.73,26.04,4.63,0.0,1039.0,1022.7455
1546315200,3,3,1,2019,1,26.42,81,22.89,26.42,3.1,0.0,1018.0,997.6851
1546318800,4,3,1,2019,1,26.23,82,22.91,26.23,2.6,0.0,988.0,995.50055
1546322400,5,3,1,2019,1,26.16,82,22.84,26.16,2.1,0.0,985.0,992.2759
1546326000,6,3,1,2019,1,25.67,82,22.37,26.43,3.1,0.0,935.0,955.1973
1546329600,7,3,1,2019,1,25.67,82,22.37,26.43,1.54,0.0,968.0,968.7137
1546333200,8,3,1,2019,1,25.48,84,22.58,26.28,2.1,0.0,1017.0,997.4545
1546336800,9,3,1,2019,1,25.23,84,22.33,26.0,0.45,0.0,1043.0,1017.9025
1546340400,10,3,1,2019,1,25.42,84,22.52,26.21,2.1,0.0,1056.0,1049.9082
1546344000,11,3,1,2019,1,25.03,82,21.74,25.73,3.1,0.0,1069.0,1069.7748
1546347600,12,3,1,2019,1,25.96,79,22.04,25.96,3.1,0.0,1084.0,1067.0343
1546351200,13,3,1,2019,1,28.08,72,22.56,31.1,5.7,0.0,1090.0,1071.8203
1546354800,14,3,1,2019,1,29.29,69,23.01,33.17,7.72,0.0,1084.0,1061.4243
1546358400,15,3,1,2019,1,30.22,62,22.13,33.69,7.2,0.0,1058.0,1054.3777
1546362000,16,3,1,2019,1,31.36,58,22.1,35.1,7.72,0.0,1058.0,1050.8296
1546365600,17,3,1,2019,1,31.94,56,22.07,35.79,7.2,0.0,1039.0,1077.918
1546369200,18,3,1,2019,1,31.95,58,22.65,36.37,6.7,0.0,1165.0,1160.48
1546372800,19,3,1,2019,1,31.26,62,23.11,35.94,7.2,0.0,1187.0,1173.829
1546376400,20,3,1,2019,1,30.35,64,22.78,34.41,7.2,0.0,1197.0,1167.3027
1546380000,21,3,1,2019,1,29.84,65,22.55,33.54,7.2,0.0,1175.0,1145.498
1546383600,22,3,1,2019,1,28.02,70,22.04,30.71,5.7,0.0,1139.0,1105.2368
1546387200,23,3,1,2019,1,27.05,73,21.79,29.2,4.63,0.0,1087.0,1054.0554
1546390800,0,4,1,2019,0,26.08,81,22.56,26.08,5.7,0.0,1041.0,984.99097
1546394400,1,4,1,2019,0,25.98,82,22.67,25.98,5.14,0.0,1022.0,952.57465
1546398000,2,4,1,2019,0,25.17,81,21.68,25.86,4.63,0.0,993.0,936.7699
1546401600,3,4,1,2019,0,26.11,83,23.0,26.11,1.03,0.0,977.0,924.75665
1546405200,4,4,1,2019,0,25.73,83,22.62,26.53,1.54,0.0,981.0,926.53906
1546408800,5,4,1,2019,0,25.73,84,22.82,26.55,1.03,0.0,1014.0,938.98126
1546412400,6,4,1,2019,0,25.67,84,22.76,26.49,0.0,0.0,1029.0,937.143
1546416000,7,4,1,2019,0,25.42,84,22.52,26.21,0.0,0.0,1212.0,1058.2584
1546419600,8,4,1,2019,0,25.42,84,22.52,26.21,0.45,0.0,1350.0,1277.2043
1546423200,9,4,1,2019,0,25.11,85,22.41,25.9,0.0,0.0,1372.0,1378.2351
1546426800,10,4,1,2019,0,25.01,83,21.92,25.73,4.12,0.0,1489.0,1434.8284
1546430400,11,4,1,2019,0,25.06,82,21.77,25.76,4.63,0.0,1510.0,1455.825
1546434000,12,4,1,2019,0,26.14,79,22.21,26.14,5.14,0.0,1545.0,1462.2732
1546437600,13,4,1,2019,0,28.08,72,22.56,31.1,6.2,0.0,1562.0,1480.3015
1546441200,14,4,1,2019,0,29.19,67,22.43,32.57,7.72,0.0,1560.0,1461.6948
1546444800,15,4,1,2019,0,30.06,63,22.24,33.57,7.2,0.0,1492.0,1417.5808
1546448400,16,4,1,2019,0,30.95,60,22.28,34.74,7.2,0.0,1392.0,1324.2742
1546452000,17,4,1,2019,0,31.33,57,21.79,34.78,7.72,0.0,1330.0,1210.8472
1546455600,18,4,1,2019,0,32.04,53,21.26,35.19,7.2,0.0,1409.0,1311.8263
1546459200,19,4,1,2019,0,32.0,52,20.91,34.86,6.2,0.0,1392.0,1289.5115
1546462800,20,4,1,2019,0,30.23,63,22.4,33.93,6.2,0.0,1335.0,1254.386
1546466400,21,4,1,2019,0,29.15,68,22.64,32.68,6.2,0.0,1313.0,1211.3656
1546470000,22,4,1,2019,0,28.1,70,22.11,30.86,6.2,0.0,1256.0,1147.6096
1546473600,23,4,1,2019,0,27.14,76,22.54,29.65,6.7,0.0,1173.0,1081.0361
